order_id,firstname,lastname,email,product,quantity,pricee,City,state,pincode,order_date,payment_method,status
1001,Sita,Reddy,sita.reddy@email.com,Camera,2,25000,Kolkata,WB,700001,15-Jan-2025,Credit Card,Cancelled
1002,Sita,Nair,sita.nair@email.com,Mouse,1,600,Delhi,DL,110001,,,Cancelled
1003,Kiran,Mehta,kiran.mehta@email.com,Keyboard,1,1000,Hyderabad,TS,500001,19-Jan-2025,COD,Cancelled
1004,Kiran,Singh,kiran.singh@email.com,Camera,2,25000,Mumbai,MH,400001,18-Jan-2025,COD,Pending
1005,Rahul,Nair,rahul.nair@email.com,Keyboard,2,1000,Ahmedabad,GJ,380001,18-Jan-2025,NetBanking,Cancelled
1006,Pooja,Verma,pooja.verma@email.com,Mobile,1,20000,Chennai,TN,600001,16-Jan-2025,NetBanking,Pending
1007,Rahul,Das,rahul.das@email.com,Charger,1,1200,Chennai,TN,600001,18-Jan-2025,,Returned
1008,Sneha,Verma,sneha.verma@email.com,Laptop,0,50000,Mumbai,MH,400001,20-Jan-2025,UPI,Pending
1009,Anil,Das,anil.das@email.com,Charger,0,1200,Kolkata,WB,700001,,,Returned
1010,Sita,Nair,sita.nair@email.com,Headphones,1,500,Chennai,TN,600001,14-Jan-2025,NetBanking,Delivered
1011,Vikas,Patel,vikas.patel@email.com,Tablet,2,30000,Ahmedabad,GJ,380001,13-Jan-2025,,Delivered
1012,Priya,Kumar,priya.kumar@email.com,Headphones,2,500,Mumbai,MH,400001,16-Jan-2025,NetBanking,Returned
1013,Sita,Singh,sita.singh@email.com,Mouse,1,600,Ahmedabad,GJ,380001,14-Jan-2025,COD,Delivered
1014,Priya,Reddy,priya.reddy@email.com,Camera,1,25000,Chennai,TN,600001,18-Jan-2025,COD,Returned
1015,Sneha,Verma,sneha.verma@email.com,Mouse,2,600,Hyderabad,TS,500001,,,Returned
1016,Amit,Sharma,amit.sharma@email.com,Keyboard,0,1000,Mumbai,MH,400001,17-Jan-2025,Credit Card,Delivered
1017,Kiran,Sharma,kiran.sharma@email.com,Keyboard,3,1000,Kolkata,WB,700001,,UPI,Pending
1018,Rahul,Verma,rahul.verma@email.com,Charger,3,1200,Mumbai,MH,400001,20-Jan-2025,UPI,Returned
1019,Pooja,Sharma,pooja.sharma@email.com,Headphones,1,500,Kolkata,WB,700001,17-Jan-2025,NetBanking,Delivered
1020,Anil,Singh,anil.singh@email.com,Laptop,3,50000,Bangalore,KA,560001,,NetBanking,Returned
1021,Rahul,Kumar,rahul.kumar@email.com,Mobile,3,20000,Ahmedabad,GJ,380001,17-Jan-2025,Credit Card,Delivered
1022,Amit,Verma,amit.verma@email.com,Keyboard,2,1000,Ahmedabad,GJ,380001,13-Jan-2025,UPI,Pending
1023,Sneha,Verma,sneha.verma@email.com,Tablet,0,30000,Bangalore,KA,560001,15-Jan-2025,UPI,Pending
1024,Pooja,Sharma,pooja.sharma@email.com,Camera,1,25000,Bangalore,KA,560001,18-Jan-2025,UPI,Delivered
1025,Kiran,Mehta,kiran.mehta@email.com,Tablet,3,30000,Ahmedabad,GJ,380001,15-Jan-2025,COD,Delivered
1026,Anil,Reddy,anil.reddy@email.com,Headphones,2,500,Ahmedabad,GJ,380001,15-Jan-2025,NetBanking,Delivered
1027,Sita,Sharma,sita.sharma@email.com,Laptop,2,50000,Delhi,DL,110001,15-Jan-2025,COD,Cancelled
1028,Sita,Mehta,sita.mehta@email.com,Charger,1,1200,Kolkata,WB,700001,14-Jan-2025,UPI,Delivered
1029,Sneha,Reddy,sneha.reddy@email.com,Laptop,1,50000,Hyderabad,TS,500001,18-Jan-2025,NetBanking,Delivered
1030,Amit,Patel,amit.patel@email.com,Charger,1,1200,Hyderabad,TS,500001,,Credit Card,Cancelled
1031,Vikas,Kumar,vikas.kumar@email.com,Tablet,3,30000,Delhi,DL,110001,16-Jan-2025,COD,Pending
1032,Priya,Nair,priya.nair@email.com,Mouse,2,600,Hyderabad,TS,500001,16-Jan-2025,,Returned
1033,Priya,Patel,priya.patel@email.com,Keyboard,0,1000,Hyderabad,TS,500001,19-Jan-2025,COD,Delivered
1034,Rahul,Kumar,rahul.kumar@email.com,Charger,0,1200,Ahmedabad,GJ,380001,13-Jan-2025,UPI,Delivered
1035,Priya,Gupta,priya.gupta@email.com,Tablet,3,30000,Bangalore,KA,560001,19-Jan-2025,Credit Card,Delivered
1036,Anil,Gupta,anil.gupta@email.com,Camera,3,25000,Mumbai,MH,400001,,COD,Pending
1037,Amit,Verma,amit.verma@email.com,Tablet,1,30000,Hyderabad,TS,500001,14-Jan-2025,,Returned
